Query_Name	Query
Cardio_NIH	("Cardiovascular Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_notNIH	("Cardiovascular Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_NIH	("Respiration Disorders"[MeSH Major Topic] OR "Respiratory Hypersensitivity"[MeSH Major Topic] OR "Respiratory System Abnormalities"[MeSH Major Topic] OR "Respiratory Tract Fistula"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_notNIH	("Respiration Disorders"[MeSH Major Topic] OR "Respiratory Hypersensitivity"[MeSH Major Topic] OR "Respiratory System Abnormalities"[MeSH Major Topic] OR "Respiratory Tract Fistula"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_NIH	("Diabetes Mellitus"[MeSH Major Topic] OR "Kidney Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_notNIH	("Diabetes Mellitus"[MeSH Major Topic] OR "Kidney Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_NIH	("Digestive System Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_notNIH	("Digestive System Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Enteritis_NIH	("Enteritis"[MeSH Major Topic] OR "Gastroenteritis"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Enteritis_notNIH	("Enteritis"[MeSH Major Topic] OR "Gastroenteritis"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
STIs_NIH	("Sexually Transmitted Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
STIs_notNIH	("Sexually Transmitted Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Pregnancy_NIH	("Pregnancy Complications"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Pregnancy_notNIH	("Pregnancy Complications"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mental_NIH	("Mental Disorders"[MeSH Major Topic] NOT "Neurocognitive Disorders"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mental_notNIH	("Mental Disorders"[MeSH Major Topic] NOT "Neurocognitive Disorders"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Muscle_NIH	("Musculoskeletal Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Muscle_notNIH	("Musculoskeletal Diseases"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Tropic_NIH	("Malaria"[MeSH Major Topic] OR "Chagas Disease"[MeSH Major Topic] OR "Leishmaniasis"[MeSH Major Topic] OR "Nematode Infections"[MeSH Major Topic] OR "Trematode Infections"[MeSH Major Topic] OR "Leprosy"[MeSH Major Topic] OR "Hemorrhagic Fever, Ebola"[MeSH Major Topic] OR "Zika Virus Infection"[MeSH Major Topic] OR "Dracunculiasis"[MeSH Major Topic] OR "Rabies"[MeSH Major Topic] OR "Trachoma"[MeSH Major Topic] OR "Trypanosomiasis, African"[MeSH Major Topic] OR "Cysticercosis"[MeSH Major Topic] OR "Echinococcosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
